,Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Year,Month,Day
0,2000-01-03,TISCO,142.35,148.0,153.2,146.1,152.5,152.45,150.92,2003185,30231643945000.0,2000,1,3
1,2000-01-04,TISCO,152.45,150.1,153.0,143.05,151.95,150.8,151.03,1555136,23487854555000.0,2000,1,4
2,2000-01-05,TISCO,150.8,144.6,162.9,144.6,158.0,156.55,156.85,3840284,60233642704999.99,2000,1,5
3,2000-01-06,TISCO,156.55,158.95,169.1,158.95,169.0,168.25,167.61,2560449,42915295930000.0,2000,1,6
4,2000-01-07,TISCO,168.25,173.4,179.0,166.3,170.55,171.95,173.89,3641691,63324587285000.0,2000,1,7
5,2000-01-10,TISCO,171.95,173.95,184.9,173.95,179.0,182.25,180.32,4642054,83706263495000.0,2000,1,10
6,2000-01-11,TISCO,182.25,179.0,180.0,167.7,167.7,167.7,170.99,1705968,29170586570000.0,2000,1,11
7,2000-01-12,TISCO,167.7,165.0,172.0,159.15,166.5,165.3,165.39,2337738,38664964255000.0,2000,1,12
8,2000-01-13,TISCO,165.3,167.9,170.0,156.05,158.7,159.2,163.0,1584803,25831999455000.0,2000,1,13
9,2000-01-14,TISCO,159.2,161.0,161.9,156.0,159.25,158.7,158.87,1541731,24494183355000.0,2000,1,14
10,2000-01-17,TISCO,158.7,164.95,171.4,163.1,165.5,166.8,168.19,3326270,55944540045000.01,2000,1,17
11,2000-01-18,TISCO,166.8,166.9,176.0,163.25,175.0,172.8,169.43,3516827,59585991685000.0,2000,1,18
12,2000-01-19,TISCO,172.8,177.0,178.0,171.0,171.25,172.85,174.04,2617065,45547525430000.0,2000,1,19
13,2000-01-20,TISCO,172.85,171.0,179.0,160.7,161.0,163.1,171.22,8257650,141388116435000.0,2000,1,20
14,2000-01-21,TISCO,163.1,162.7,164.75,159.1,162.0,162.4,162.49,2794941,45415310200000.0,2000,1,21
15,2000-01-24,TISCO,162.4,163.9,163.9,150.0,150.9,151.15,157.14,2446509,38445557595000.0,2000,1,24
16,2000-01-25,TISCO,151.15,150.0,154.0,147.0,149.0,148.45,150.45,3030257,45591406095000.0,2000,1,25
17,2000-01-27,TISCO,148.45,151.4,153.5,147.5,148.2,148.3,150.04,1466342,22000530650000.0,2000,1,27
18,2000-01-28,TISCO,148.3,148.0,151.0,143.25,144.5,144.5,146.85,1996632,29320429630000.0,2000,1,28
19,2000-01-31,TISCO,144.5,143.1,144.0,138.6,139.6,139.35,141.67,1269284,17982567165000.0,2000,1,31
20,2000-02-01,TISCO,139.35,139.1,142.7,138.6,140.6,140.5,141.11,1748130,24668608040000.0,2000,2,1
21,2000-02-02,TISCO,140.5,143.7,145.25,140.0,141.0,141.05,142.96,1376545,19678806645000.0,2000,2,2
22,2000-02-03,TISCO,141.05,141.9,146.2,139.55,140.2,140.0,142.58,3275087,46696051175000.0,2000,2,3
23,2000-02-04,TISCO,140.0,141.9,142.0,139.0,140.4,140.1,140.02,1654411,23164599380000.0,2000,2,4
24,2000-02-07,TISCO,140.1,140.0,140.85,138.25,138.6,139.0,139.66,929743,12984614260000.0,2000,2,7
25,2000-02-08,TISCO,139.0,138.5,143.5,138.1,141.25,141.1,141.2,2677365,37803646775000.0,2000,2,8
26,2000-02-09,TISCO,141.1,145.4,150.25,143.1,143.9,144.4,147.07,2847687,41881436600000.0,2000,2,9
27,2000-02-10,TISCO,144.4,145.5,145.5,141.1,142.0,141.85,142.59,1093875,15597844575000.0,2000,2,10
28,2000-02-11,TISCO,141.85,143.8,143.95,139.75,140.5,140.2,141.06,1149793,16219524880000.002,2000,2,11
29,2000-02-14,TISCO,140.2,139.0,140.5,132.05,133.3,134.65,137.32,1013330,13914786910000.0,2000,2,14
30,2000-02-15,TISCO,134.65,133.5,137.0,130.25,131.5,131.75,133.83,1818713,24339184375000.0,2000,2,15
